variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
roeq,float64,-2.011209538,1.9891738246,4.0003833626,822913,12273.683499981204,1638459,39.794713886213174,1972-01-01,2021-12-01
rsup,float64,-4.271041436,2.5114186851,6.7824601211,810027,40160.33157363507,1678597,40.769581262183415,1972-01-01,2021-12-01
stdacc,float64,0.0,929.63238091,929.63238091,542198,10880869.70924723,2505732,60.85894612897162,1974-11-01,2021-12-01
stdcf,float64,0.0,2996.621567,2996.621567,542303,25929947.83380171,2505732,60.85894612897162,1974-11-01,2021-12-01
ms,float64,0.0,8.0,8.0,9,8890385.0,1682014,40.852572986327374,1972-01-01,2021-12-01
baspread,float64,-0.429474319,0.9818181818,1.4112925008000001,3980602,217479.73393321523,646,0.015689977698858323,1957-01-01,2021-12-01
ill,float64,0.0,0.0009818182,0.0009818182,3644226,17.82480564490781,308510,7.493057306307711,1957-01-01,2021-12-01
maxret,float64,0.0,0.9666665196,0.9666665196,675148,285005.1842228364,565,0.013722658513707357,1957-01-01,2021-12-01
retvol,float64,0.0,0.2659367115,0.2659367115,3932789,125015.90878789038,3479,0.08449757339679273,1957-01-01,2021-12-01
std_dolvol,float64,0.0,3.3624285022,3.3624285022,3756453,3215574.334857846,316358,7.683668676246783,1957-01-01,2021-12-01
std_turn,float64,0.0,794.68585525,794.68585525,3765693,17796270.991737217,305807,7.427407136462488,1957-01-01,2021-12-01
zerotrade,float64,7.336618000000002e-13,20.045456146,20.045456145999264,3098302,5276763.137594614,309813,7.5247044285083495,1957-01-01,2021-12-01
sic2,float64,1.0,99.0,98.0,74,182204784.0,300337,7.29455237173686,1957-01-01,2021-12-01
ret,float64,-0.9936,24.0,24.9936,451113,45572.34308900004,20487,0.4975860264961462,1957-01-01,2021-12-01
dlret,float64,-1.0,35.333332,36.333332,13622,-1752.0375200000008,4093919,99.43265915005011,1957-01-01,2021-12-01
tbl,float64,0.0001,0.163,0.16290000000000002,481,179933.3563000001,0,0.0,1957-01-01,2021-12-01
rf,float64,0.0,0.0135,0.0135,106,14691.775700000007,0,0.0,1957-01-01,2021-12-01
d/p,float64,0.010849,0.063716,0.052867,772,112255.08757399998,0,0.0,1957-01-01,2021-12-01
e/p,float64,0.007935,0.14977,0.141835,775,246893.52461799994,0,0.0,1957-01-01,2021-12-01
b/m,float64,0.12051,1.20653,1.08602,780,1808849.953415999,0,0.0,1957-01-01,2021-12-01
tms,float64,-0.0365,0.0455,0.08199999999999999,425,78907.25485600003,0,0.0,1957-01-01,2021-12-01
dfy,float64,0.0032,0.0338,0.030599999999999995,165,42021.967999999964,0,0.0,1957-01-01,2021-12-01
